"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"Y49E10.25",3,1,0,1,1,2,1,3,0,0
"Y49E10.27",0,0,2,0,0,0,0,0,1,0
"Y49E10.29",1,0,3,1,4,0,1,5,2,3
"Y49E10.4",71,54,42,57,56,46,27,64,47,26
"Y49F6A.5",0,0,0,0,0,0,0,1,0,1
"Y49F6B.12",1044,1054,1167,995,2066,488,1067,976,821,507
"Y49F6B.13",10,8,9,6,11,1,2,9,6,2
"Y49F6B.2",322,310,275,231,400,404,277,269,367,204
"Y49F6B.6",11,9,8,7,23,11,10,20,10,5
"Y49F6B.8",0,2,2,1,2,0,2,0,1,0
"Y49F6B.9",39,26,21,43,40,112,90,120,87,47
"Y49F6C.6",1,1,0,0,0,0,0,0,0,1
"Y49F6C.7",0,1,0,0,0,0,0,2,2,0
"Y49F6C.8",0,1,0,4,2,4,5,18,2,0
"Y49G5A.1",37,18,30,23,131,3,5,3,7,5
"Y49G5B.1",103,116,83,78,117,163,126,180,128,79
"Y4C6A.3",1,0,0,6,0,12,20,44,10,7
"Y4C6A.4",0,0,0,0,0,0,1,1,0,0
"Y4C6B.1",45,30,46,64,40,123,52,95,89,44
"Y4C6B.2",5613,6605,4363,3308,6921,2884,2891,3484,3227,1275
"Y4C6B.3",900,1027,704,524,967,888,798,842,722,299
"Y4C6B.4",187,184,94,93,324,123,64,77,132,67
"Y4C6B.5",242,241,227,177,268,148,157,189,231,146
"Y4C6B.7",560,591,531,388,1004,540,473,377,442,234
"Y50C1A.2",121,182,268,198,398,374,624,549,542,276
"Y50D4A.1",584,495,455,452,583,536,440,468,492,241
"Y50D4A.10",52,65,60,31,79,47,45,44,42,13
"Y50D4A.4",205,182,176,114,255,222,139,204,229,138
"Y50D4B.1",209,214,165,156,284,281,184,206,296,155
"Y50D4B.2",14,18,20,14,47,19,28,26,122,37
"Y50D4B.4",1,0,0,0,2,1,0,3,1,4
"Y50D4B.6",81,91,66,48,76,71,79,105,103,39
"Y50D4B.7",40,46,53,36,44,32,66,89,68,32
"Y50D4C.3",166,174,187,174,312,237,180,235,260,128
"Y50D4C.5",116,153,156,123,191,153,137,237,252,135
"Y50D4C.6",50,50,47,43,82,59,47,49,52,35
"Y50D7A.1",63,50,74,68,177,71,63,99,148,79
"Y50D7A.10",74,61,70,74,135,90,99,107,132,71
"Y50D7A.11",15,19,21,28,37,27,29,48,52,26
"Y50D7A.13",0,5,0,0,3,0,0,1,1,1
"Y50D7A.3",363,346,439,361,713,532,554,671,1112,541
"Y50D7A.8",417,366,358,367,606,413,314,418,674,348
"Y50E8A.1",77,69,63,41,143,74,81,70,60,30
"Y50E8A.10",0,3,3,2,3,1,0,1,1,0
"Y50E8A.12",4,9,10,9,16,7,10,11,4,1
"Y50E8A.5",7,3,2,5,15,9,4,2,4,1
"Y50E8A.6",0,0,1,2,2,1,2,0,1,0
"Y51A2A.12",0,3,4,2,8,15,8,11,24,3
"Y51A2A.4",10,6,10,11,20,33,55,45,61,10
"Y51A2B.16",2,1,1,2,2,1,2,2,2,0
"Y51A2B.2",17,17,36,18,21,0,0,2,6,1
"Y51A2B.5",0,0,0,1,0,0,0,1,0,0
"Y51A2B.6",0,2,0,0,0,0,0,0,0,0
"Y51A2B.8",2,2,3,3,12,1,0,1,1,1
"Y51A2D.1",1,0,1,2,1,0,0,0,1,1
"Y51A2D.13",669,778,891,643,1014,1436,1345,1256,2243,1198
"Y51A2D.14",309,363,394,304,709,419,517,402,1106,464
"Y51A2D.18",255,265,185,138,397,321,180,139,177,78
"Y51A2D.21",392,360,311,262,482,279,196,135,190,116
"Y51A2D.7",155,140,187,174,288,200,194,215,230,121
"Y51A2D.8",15,19,20,9,27,22,29,27,39,23
"Y51B9A.14",1,3,3,0,0,0,0,0,0,0
"Y51B9A.6",4,0,4,0,1,0,1,0,3,0
"Y51B9A.7",1,0,1,0,1,0,0,0,0,0
"Y51B9A.8",63,51,56,54,54,3,3,7,26,12
"Y51B9A.9",60,78,43,29,55,23,33,35,24,16
"Y51F10.11",108,98,85,87,134,124,150,142,206,100
"Y51F10.15",9,4,4,0,2,1,1,2,2,0
"Y51F10.2",46,78,52,127,79,226,158,311,185,133
"Y51F10.3",459,481,519,420,654,768,700,706,1135,530
"Y51F10.4",524,476,377,389,510,209,208,239,322,154
"Y51H1A.3",1632,1521,1401,1294,1990,1563,1104,1056,1574,929
"Y51H4A.1",22,29,24,19,38,15,11,13,20,12
"Y51H4A.13",1,0,2,3,2,3,2,3,3,3
"Y51H4A.15",1934,1778,1333,1205,1728,1829,1408,1315,1545,853
"Y51H4A.2",3,1,0,1,0,4,2,6,0,0
"Y51H4A.21",1,0,0,0,0,1,0,0,0,0
"Y51H4A.25",158,193,207,137,256,313,199,177,213,100
"Y51H4A.5",0,0,1,3,4,0,0,0,3,2
"Y51H4A.7",2814,2529,3119,2392,3599,2226,1649,1976,2707,1306
"Y51H4A.8",1221,1271,1229,1045,1489,547,618,590,710,424
"Y51H7BR.4",425,404,254,226,420,308,259,300,332,174
"Y51H7BR.7",8,8,5,6,15,20,26,42,21,10
"Y51H7BR.8",9,6,3,4,10,5,9,4,10,9
"Y51H7C.1",5,3,4,3,17,15,1,9,10,12
"Y51H7C.10",2,1,1,1,1,2,3,2,0,0
"Y51H7C.12",2,2,0,0,7,2,3,2,0,2
"Y51H7C.13",9,12,7,4,14,5,3,4,9,3
"Y51H7C.3",168,212,217,216,354,227,178,188,341,186
"Y51H7C.5",518,561,413,378,653,500,405,377,467,243
"Y51H7C.7",139,130,121,127,172,197,162,163,207,110
"Y51H7C.8",3,5,5,5,2,6,2,1,5,4
"Y51H7C.9",25,25,10,10,29,31,26,29,37,14
"Y52B11A.10",1652,1448,1230,1074,1690,1470,1091,1110,1608,908
"Y52B11A.11",2,2,5,2,5,4,3,1,4,1
"Y52B11A.12",33,33,18,23,51,18,15,19,22,17
"Y52B11A.18",2,1,1,0,2,0,0,3,0,1
"Y52B11A.19",13,16,13,12,14,6,4,6,8,6
"Y52B11A.20",5,3,6,4,5,4,4,10,9,6
"Y52B11A.3",209,234,181,157,281,256,201,240,309,154
"Y52B11A.4",361,286,304,243,477,823,708,799,779,421
"Y52B11A.8",275,350,369,321,636,281,248,289,440,216
"Y52B11C.1",96,116,115,90,162,129,92,116,213,96
"Y52E8A.1",1,1,0,1,4,1,2,1,1,1
