"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"pgl-1",61,28,48,270,65,473,178,672,415,276
"pgl-2",102,70,56,69,116,121,92,152,116,53
"pgl-3",22,4,8,101,18,195,119,317,152,99
"pgp-1",32,36,26,15,54,54,27,35,12,4
"pgp-10",954,989,1172,842,1616,1127,971,1033,2946,1318
"pgp-11",3263,4311,5202,4497,10301,5976,9229,8806,5339,2729
"pgp-2",545,560,544,385,590,372,352,383,596,272
"pgp-3",150,134,78,79,144,69,77,99,118,31
"pgp-4",76,84,69,41,227,100,55,56,121,48
"pgp-5",52,78,65,51,98,41,61,91,229,99
"pgp-6",32,41,27,17,30,23,41,50,160,92
"pgp-7",10,10,9,6,17,5,2,5,7,6
"pgp-8",30,27,27,20,30,19,12,16,42,23
"pgp-9",69,77,102,58,80,6,24,28,24,17
"pgrn-1",523,537,650,533,949,1364,1135,899,1321,758
"pgs-1",171,183,128,136,221,186,109,153,183,99
"pha-1",351,416,316,234,540,519,488,485,748,388
"pha-2",3,1,3,1,3,2,0,0,3,0
"pha-4",380,368,392,365,553,476,303,400,517,297
"phat-2",3,7,11,7,5,0,0,0,2,0
"phat-3",7,3,10,10,15,8,6,5,6,2
"phat-4",0,1,2,0,2,1,1,2,1,1
"phat-5",2,0,0,0,1,2,0,0,0,0
"phat-6",7,7,5,0,18,4,1,3,1,2
"phb-1",1525,1541,1979,1524,2629,2521,2150,1946,2775,1516
"phb-2",1107,1229,1665,1295,2342,1811,1746,1571,2235,1244
"phf-10",218,201,189,169,281,233,213,268,334,154
"phf-14",169,176,167,151,262,283,244,239,262,135
"phf-15",310,320,342,283,442,345,322,433,549,269
"phf-30",93,81,85,65,170,97,150,170,130,71
"phf-31",59,56,65,57,69,71,60,51,115,55
"phf-32",52,31,21,36,50,16,11,20,52,28
"phf-33",1,0,1,0,3,1,1,1,3,0
"phf-34",134,106,100,84,105,103,98,96,179,82
"phf-5",752,637,489,403,503,614,485,477,600,252
"phg-1",20,10,12,4,38,12,3,5,7,3
"phip-1",182,188,206,174,312,249,233,269,307,157
"phlp-2",2,0,1,2,8,3,2,2,3,3
"pho-1",19,12,31,31,76,65,61,71,146,62
"pho-10",8,6,10,4,17,9,4,12,15,8
"pho-11",579,652,876,752,1000,1329,1021,1067,3975,2459
"pho-12",174,244,204,163,403,166,221,223,277,148
"pho-13",3,2,0,1,2,3,2,1,1,0
"pho-14",40,49,52,36,66,79,154,139,95,60
"pho-4",58,81,92,78,164,68,84,86,191,110
"pho-5",859,804,662,665,812,968,754,756,870,483
"pho-6",338,301,384,245,381,273,180,206,153,68
"pho-7",257,348,466,341,495,596,780,710,676,315
"pho-9",134,151,82,53,153,161,84,108,117,39
"php-3",914,937,1013,820,1505,1079,1048,1165,1580,907
"phy-2",304,329,1428,602,674,555,809,694,5024,2178
"phy-3",1,2,1,1,1,5,3,4,2,2
"picc-1",232,140,170,240,289,308,176,272,263,184
"pid-1",34,33,16,21,29,69,28,58,52,27
"pie-1",60,51,48,71,54,124,68,193,120,63
"pif-1",31,26,25,22,34,101,62,102,78,33
"pifk-1",348,365,262,242,373,258,180,175,364,193
"pig-1",39,17,35,72,49,106,62,161,112,58
"piga-1",107,132,120,106,130,124,157,137,198,105
"pign-1",144,164,171,122,189,160,127,155,148,105
"pigv-1",200,174,191,256,286,338,290,531,425,244
"piit-1",30,26,15,19,53,30,17,26,39,14
"pik-1",220,193,194,151,256,176,178,190,261,142
"piki-1",545,651,546,461,849,699,846,920,794,436
"pin-2",525,560,316,315,391,590,549,533,412,258
"pink-1",484,459,470,312,595,406,323,361,484,246
"pinn-1",134,139,127,126,273,195,198,203,220,108
"pinn-4",556,488,430,410,686,606,454,423,656,326
"pir-1",2322,2144,1288,1319,1579,1845,1437,1333,1216,656
"pis-1",458,388,461,464,760,440,402,562,734,387
"pisy-1",352,303,429,321,536,614,522,595,770,410
"pitp-1",541,532,451,355,643,383,320,412,672,330
"pitr-1",2339,1640,2105,1990,2115,1637,969,1292,2284,1318
"pitr-2",130,112,102,83,132,89,109,147,92,39
"pitr-3",550,728,647,457,467,326,423,453,274,137
"pitr-4",11,21,13,7,16,16,52,57,25,18
"pitr-5",200,189,201,214,319,372,368,321,314,156
"pitr-6",11,6,7,8,16,13,18,21,12,3
"pix-1",441,446,328,289,468,466,242,301,511,301
"pkc-1",1987,2031,1778,1520,2579,1561,1337,1662,2735,1461
"pkc-2",1585,1645,1208,1001,1352,1167,858,951,1083,550
"pkc-3",344,356,464,410,566,390,333,413,588,343
"pkd-2",3,3,0,1,3,11,12,10,7,7
"pkg-2",3896,3671,3744,3014,4295,5622,4002,4139,6274,2928
"pkn-1",636,561,436,404,579,476,316,422,622,342
"pks-1",18,26,11,11,45,31,9,34,15,7
"plc-1",1953,1691,1707,1535,2830,1774,1070,1420,2532,1385
"plc-2",262,256,209,188,280,269,202,177,252,127
"plc-3",444,522,425,390,648,412,320,415,693,351
"plc-4",665,657,678,544,1047,467,419,461,775,412
"pld-1",1171,1071,1230,999,1667,1016,899,1101,1849,968
"plep-1",0,1,2,2,2,2,3,1,0,0
"plin-1",4155,4255,4421,3530,3453,1658,1315,1604,1979,1102
"plk-1",122,73,109,219,169,399,196,444,255,170
"plk-2",102,71,76,119,148,273,119,258,200,133
"plk-3",94,31,70,247,92,329,224,508,256,184
"plp-1",4622,4454,2978,2772,4839,5606,4267,4164,4523,2371
"plp-2",15,11,15,11,33,12,3,12,17,4
"plr-1",442,486,390,313,607,474,348,332,484,314
"plrg-1",423,394,464,398,610,617,473,571,640,385
"plst-1",443,449,461,408,654,351,360,401,555,275
"plx-1",715,728,1223,918,1415,893,845,1167,929,509
"plx-2",528,572,549,378,722,396,394,474,612,274
"pmk-1",548,574,492,429,783,459,536,509,704,339
"pmk-2",535,550,412,354,624,364,318,335,568,264
"pmk-3",926,941,839,666,1270,668,677,693,1159,543
"pmp-1",72,87,61,39,112,187,156,180,100,33
"pmp-2",1772,2369,2263,1562,3173,2832,2585,2632,2786,1178
"pmp-3",738,673,800,606,982,783,572,718,896,533
"pmp-4",2306,2731,2376,1759,2435,1483,1240,1410,1836,745
"pmp-5",144,161,65,82,343,162,101,95,103,86
"pmr-1",624,559,647,494,892,578,440,561,830,461
"pms-2",120,121,111,130,246,152,85,154,202,141
"pmt-1",18115,17007,14397,11764,12926,3889,3491,3889,3053,1708
"pmt-2",1221,1293,1527,1281,2614,1161,1429,1250,2138,1301
"pnc-1",561,538,535,487,791,322,261,332,500,272
"pnc-2",4,7,3,1,6,6,4,6,9,2
"png-1",127,119,188,160,336,240,270,277,307,162
"pnk-1",847,936,866,693,1011,1107,1436,1431,1504,811
"pnk-4",233,246,242,179,194,107,130,153,167,77
"pnn-1",618,602,594,533,882,753,579,707,1137,550
"pod-1",2025,1946,2438,2032,2344,2407,2178,3222,1953,1121
"pod-2",2515,2347,3462,2472,2994,1564,2241,2849,1765,939
"pola-1",144,120,154,186,184,305,178,399,270,157
"pole-1",157,98,127,212,144,248,138,358,228,117
"pole-2",180,170,199,165,281,241,253,346,282,176
"polg-1",320,286,248,245,343,226,145,211,244,156
"polh-1",123,115,92,117,162,193,124,231,154,93
"polk-1",133,86,93,89,129,180,148,265,137,103
"polq-1",275,268,332,285,390,395,284,450,544,305
"poml-1",4,9,7,4,8,8,12,9,11,6
"poml-2",58,54,73,44,78,29,38,28,36,17
"poml-3",220,266,227,165,266,317,300,273,216,114
"poml-4",4,1,1,0,1,8,0,2,1,0
"pop-1",376,402,328,253,518,289,197,288,397,236
"pos-1",46,8,15,277,26,537,412,758,350,283
"pot-1",77,71,68,91,103,105,107,137,130,56
"pot-2",43,28,20,40,45,104,63,113,55,27
"pot-3",147,129,129,114,174,159,83,114,138,94
"ppat-1",390,398,345,278,668,568,391,371,567,282
"ppfr-1",1672,1453,1487,1295,1966,1549,1035,1309,1919,1013
"ppfr-2",185,170,213,162,264,238,174,236,344,146
"ppfr-4",319,371,323,294,396,489,440,491,455,234
"ppgn-1",212,187,221,149,278,226,169,262,256,123
"pph-1",501,485,440,354,715,545,445,526,634,367
"pph-2",0,0,0,1,1,0,0,0,0,0
"pph-4.1",291,282,291,264,412,375,325,304,307,191
"pph-4.2",93,85,116,118,147,180,146,233,210,123
"pph-5",308,315,391,313,551,436,490,449,472,291
"pph-6",373,372,407,331,625,490,397,441,519,288
"ppk-1",745,741,810,616,1043,700,507,669,1145,686
"ppk-2",375,331,406,324,532,278,288,322,546,273
"ppk-3",398,369,328,264,442,331,271,342,531,282
"ppm-1",2625,2657,2918,2116,3099,2413,1978,2146,2517,1290
"ppm-2",2877,2870,3192,2371,3975,2439,2417,1948,2899,1440
"pps-1",569,567,651,558,902,491,555,602,767,405
"ppt-1",163,155,187,130,135,617,747,578,626,335
"pptr-1",1457,1220,1254,1097,1699,739,626,708,1358,702
"pptr-2",1215,1060,1251,1119,1856,1171,757,902,1743,1112
"ppw-1",115,104,130,92,168,158,94,169,252,113
"ppw-2",49,38,56,159,148,316,118,440,294,145
"pqbp-1.1",780,826,525,557,653,838,743,640,641,345
"pqbp-1.2",57,63,57,34,77,64,49,58,103,39
"pqe-1",1383,1165,1386,1217,2194,1493,1044,1600,2081,1178
"pqm-1",1088,692,1076,1025,1370,1414,472,558,1440,729
"pqm-96",61,54,26,33,35,9,13,26,5,1
"pqn-10",14,12,9,11,21,20,15,34,18,8
"pqn-11",1,0,0,0,1,0,0,3,1,0
"pqn-13",1,0,1,1,4,3,1,8,3,0
"pqn-15",214,186,227,178,317,121,146,157,261,144
"pqn-16",5,3,3,0,3,2,2,1,2,3
"pqn-18",1403,1427,1440,1182,1834,1330,1258,1368,2425,1293
"pqn-20",1062,841,1398,1109,1664,1285,1033,1468,1773,994
"pqn-21",442,379,450,397,556,445,296,353,553,291
"pqn-22",305,342,361,266,1049,123,62,52,115,50
"pqn-24",998,1093,957,720,1312,931,964,823,1166,605
"pqn-25",18,3,5,1,22,16,1,3,13,2
"pqn-26",16,5,8,4,11,17,11,9,12,4
"pqn-27",628,621,618,585,723,585,505,612,929,442
"pqn-29",7,11,9,7,10,6,5,7,4,1
"pqn-31",57,39,35,7,117,48,10,21,45,10
"pqn-35",568,571,828,599,1302,558,586,682,1349,598
"pqn-37",416,489,814,626,726,251,313,346,672,326
"pqn-39",678,634,685,540,873,834,618,621,996,402
"pqn-41",3471,3348,2389,2248,4173,2771,1885,2468,2041,996
"pqn-42",168,173,194,147,281,398,302,276,200,106
"pqn-44",6407,7172,11678,9698,16253,8568,12482,11280,20136,12040
"pqn-48",1300,1539,802,785,1669,1479,1244,938,1437,713
"pqn-51",1796,1692,1253,1254,1592,1921,1196,1358,1442,798
"pqn-52",179,138,152,185,215,259,181,269,207,128
"pqn-53",2929,2884,2666,2160,5122,3535,2249,2792,6651,3473
"pqn-54",6,10,2,7,3,4,1,8,3,3
"pqn-59",86981,80436,55413,52943,70466,110715,71357,64432,68634,37341
"pqn-60",91,52,28,20,85,13,2,11,18,4
"pqn-62",1926,1730,1462,1201,2271,1988,1190,1238,1551,954
"pqn-63",0,0,1,1,4,0,0,1,1,0
"pqn-65",1386,1228,1576,1164,2353,1305,1076,1430,1997,976
"pqn-67",60,57,74,68,55,36,24,20,38,12
"pqn-68",70,82,85,74,127,93,137,108,139,60
"pqn-70",3540,3652,3243,2744,4354,4606,3331,3390,4487,2267
"pqn-71",2,2,3,4,5,0,0,1,4,3
"pqn-72",50,55,54,47,105,56,50,58,73,34
"pqn-73",4,1,1,2,3,4,4,4,8,1
"pqn-74",17,14,12,11,33,30,16,21,16,4
"pqn-75",29,18,28,19,64,124,91,97,163,81
"pqn-8",14,2,7,4,13,4,1,3,5,4
"pqn-80",703,631,767,722,1151,686,625,735,1101,585
"pqn-82",10,8,4,21,16,22,25,53,24,19
"pqn-83",3081,3209,3685,2788,4051,1984,2133,2208,2783,1434
"pqn-84",2,1,1,2,0,0,0,0,0,0
"pqn-85",2045,1634,1388,1540,2217,1159,854,1280,1562,946
"pqn-87",5254,4711,5518,4544,6733,4634,3959,4986,5257,2692
"pqn-88",17,9,16,8,47,10,1,3,3,0
"pqn-89",595,556,516,423,701,395,407,423,481,267
"pqn-91",1,0,0,0,0,0,0,1,0,0
"pqn-92",873,794,701,596,957,700,497,545,454,260
"pqn-94",40,20,41,23,109,20,9,23,28,10
"pqn-96",268,226,222,218,371,216,160,191,326,141
"pqn-97",4,7,5,3,9,0,4,0,2,1
"pqn-98",5,3,1,1,4,0,0,1,0,0
"praf-3",2165,1812,1186,1225,1124,1682,838,938,822,450
"prde-1",36,13,22,51,40,47,19,63,58,34
"prdx-2",3175,2830,2345,2245,3337,3119,2133,2331,3200,1658
"prdx-3",582,558,523,542,827,680,452,427,568,357
"prdx-6",230,199,242,184,276,217,252,198,196,125
"prg-1",154,136,145,274,246,625,417,707,576,330
"prg-2",31,13,23,43,43,131,50,149,111,79
"pri-1",87,40,63,68,75,115,60,101,66,59
"pri-2",57,43,50,82,87,189,98,197,102,99
"prk-1",1528,1641,1760,1195,1414,1633,1304,1476,1705,1104
"prk-2",402,402,457,335,569,315,284,312,582,319
"prkl-1",324,304,266,209,412,461,331,374,425,196
"prmn-1",710,911,1016,807,1615,1184,954,1005,1245,600
"prmt-1",15901,15741,10664,9381,16993,14221,11085,9383,13813,6645
"prmt-4",54,48,38,24,47,19,11,9,2,1
"prmt-5",556,585,674,575,900,658,546,704,995,494
"prmt-6",10,17,15,11,29,63,27,14,33,13
"prmt-7",569,510,428,388,649,436,469,541,633,304
"prmt-9",290,249,275,263,429,375,286,390,405,214
"pro-1",213,207,298,247,397,313,207,272,423,231
"pro-2",669,694,682,654,1103,883,758,882,1321,655
"pro-3",427,436,516,479,840,417,496,530,790,390
"prom-1",8,1,7,30,8,56,30,91,45,39
"pros-1",495,476,405,349,606,379,302,368,450,190
"prp-17",465,469,557,430,645,615,593,634,768,409
"prp-19",517,461,585,491,800,828,614,746,1005,572
"prp-21",368,359,432,320,551,548,474,582,681,389
"prp-3",1437,1319,1157,1110,1759,1233,1032,1077,1457,862
"prp-31",580,540,678,559,728,889,727,762,944,565
"prp-38",270,217,194,226,328,366,251,342,392,206
"prp-4",120,116,129,121,165,192,163,193,205,124
"prp-6",835,756,923,807,1200,1025,1096,1178,1580,863
"prp-8",2127,2031,2865,2232,3879,3006,2435,3075,4900,2359
"prpf-4",1301,1283,1406,1173,1833,1680,1363,1749,2712,1320
"prx-1",216,214,160,141,233,229,137,167,222,107
"prx-10",263,284,281,188,391,322,226,300,383,192
"prx-11",217,213,218,173,256,163,165,157,238,101
"prx-12",131,141,119,84,202,123,126,106,180,100
"prx-13",214,224,226,198,282,300,224,183,312,158
"prx-14",295,286,343,261,377,418,235,289,428,239
"prx-19",1250,1232,1152,1002,1718,1433,1159,1067,1307,723
"prx-2",112,98,87,70,137,139,179,138,171,78
"prx-3",189,285,163,129,233,170,238,169,199,100
"prx-5",761,809,842,697,1185,1070,1063,968,1171,612
"prx-6",308,349,400,246,379,254,275,230,358,181
"pry-1",948,910,758,634,1103,763,543,648,561,341
"psa-3",272,272,230,148,219,247,157,171,148,68
"psd-1",3618,3558,3105,2632,3566,4639,2780,2554,2187,1173
"psf-1",62,31,43,42,44,89,53,97,55,41
"psf-2",34,13,19,37,28,82,37,68,27,19
"psf-3",46,37,34,33,46,119,64,101,56,30
"psmd-9",212,189,142,135,255,231,264,231,183,97
"psr-1",189,159,204,198,296,314,270,307,396,211
"pssy-1",301,250,262,216,423,317,224,251,435,206
"pssy-2",26,18,25,59,52,136,64,130,107,62
"pst-1",165,163,241,170,363,169,173,179,346,197
"pst-2",154,181,179,170,325,228,242,294,255,142
"pstk-1",41,28,22,25,58,34,18,37,41,19
"ptb-1",380,411,490,378,705,647,553,734,574,258
"ptc-1",3803,2802,3718,3489,4668,3075,1940,3059,5223,2562
"ptc-2",18,20,17,8,73,37,11,15,14,11
"ptc-3",4068,3503,3133,2745,3023,1367,968,1127,1043,609
"ptd-2",37,41,68,68,78,42,38,19,150,65
"ptl-1",1889,1800,1423,1366,2466,1795,1198,1356,2139,1134
"ptp-1",2723,2781,1854,1562,2457,2563,1674,1680,1404,692
"ptp-2",293,316,347,305,509,398,251,372,606,310
"ptp-3",2170,1857,2762,1888,2964,1717,1806,2356,2437,1324
"ptp-4",114,125,122,80,162,78,55,49,127,72
"ptps-1",245,237,295,202,205,109,147,123,99,57
"ptr-1",36,45,48,26,107,2,9,17,20,10
"ptr-10",30,40,38,19,137,2,13,13,7,7
"ptr-11",630,606,759,572,1081,541,480,522,947,453
"ptr-12",1614,1517,1749,1535,3094,1177,564,701,2814,1418
"ptr-13",2292,2890,5585,3917,4892,4460,4154,4040,6975,3791
"ptr-14",663,648,370,341,602,440,385,527,462,174
"ptr-15",158,174,125,104,319,173,159,181,286,129
"ptr-16",3,5,0,2,1,4,8,2,10,5
"ptr-17",9,15,11,7,23,18,11,19,50,25
"ptr-18",42,37,26,18,41,21,31,25,51,43
"ptr-19",2,0,0,1,6,4,0,0,4,2
"ptr-2",52,50,66,156,88,247,140,353,208,158
"ptr-20",1524,1400,1143,796,1246,897,497,575,791,402
"ptr-21",552,493,466,393,568,496,352,445,575,335
"ptr-22",4208,4065,2213,2332,2105,1023,515,851,3661,1698
"ptr-23",4267,4296,4581,3251,5628,4017,2589,2860,3181,1741
"ptr-24",863,850,741,532,877,1072,564,696,1051,587
"ptr-3",73,62,57,35,150,71,113,89,81,40
"ptr-4",84,107,81,36,310,36,47,47,40,32
"ptr-5",861,671,916,767,1310,804,533,618,1458,661
"ptr-6",482,319,489,410,370,143,157,125,201,87
"ptr-8",1995,1630,1943,1559,2140,266,314,311,445,200
"ptr-9",2,1,1,0,2,0,2,0,0,0
"ptrn-1",755,639,667,540,909,715,492,547,870,509
"pud-3",7,8,8,11,22,10,64,32,44,20
"pud-4",23,29,15,4,64,0,64,24,34,21
"pudl-2",2,1,1,1,0,0,0,0,0,0
"puf-11",25,6,3,185,16,443,242,612,286,246
"puf-12",20624,18570,13172,12087,17535,19844,12437,12098,16445,8845
"puf-5",39,2,9,428,13,849,517,1203,595,470
"puf-6",4,2,1,40,1,96,47,159,55,61
"puf-7",0,0,0,23,1,62,33,86,37,31
"puf-8",112,52,73,128,133,224,107,270,205,89
"puf-9",699,664,739,659,1027,670,670,698,1111,620
"pup-2",3742,3956,4274,3721,5049,5274,4169,4678,7104,3939
"pup-3",31,55,30,36,53,49,38,36,59,27
"pus-1",652,634,521,471,785,1003,734,597,832,434
"pvf-1",935,834,599,588,664,1141,604,654,621,382
"pxd-1",311,325,339,217,404,234,236,206,347,205
"pxf-1",901,900,1026,844,1270,787,729,1008,1232,668
"pxl-1",1661,1663,1288,1131,1889,1508,1304,1347,1417,740
"pxn-1",862,982,1084,779,1506,673,589,700,1278,674
"pxn-2",78,59,61,39,100,40,23,27,103,64
"pyc-1",5512,5505,13000,9707,14402,11486,9798,10942,23492,13285
"pyk-1",4835,4312,3882,3312,6178,4711,2854,3112,3913,2054
"pyk-2",1555,1625,982,759,1292,1666,949,1114,1254,776
"pyp-1",2348,2460,4172,3187,4515,5351,6100,5384,10629,6051
"pyr-1",3825,3529,3824,3471,6872,3535,2783,3268,6583,3495
"pzf-1",0,2,0,2,0,16,10,18,15,7
"qars-1",1402,1378,1275,1192,1565,1297,1456,1551,1906,1121
"qdpr-1",780,899,940,712,1519,754,943,822,1070,541
"qns-1",217,212,272,224,395,257,188,296,330,206
"qua-1",152,178,110,85,187,58,66,80,103,66
"qui-1",210,241,200,130,303,149,132,152,196,74
"rab-1",5021,4538,3841,3566,5398,4680,3310,3375,5744,3124
"rab-10",807,786,666,539,841,672,599,732,715,402
"rab-11.1",6223,6474,6229,5378,9717,9174,7745,7550,13870,7027
"rab-11.2",61,100,63,65,30,10,3,8,3,2
"rab-14",2412,2090,1662,1505,2317,2011,1367,1253,1756,904
"rab-18",673,621,700,598,920,877,732,734,1367,831
"rab-19",1161,1127,691,684,927,1140,990,895,813,450
"rab-21",1121,1001,588,588,678,703,570,569,533,285
"rab-28",42,77,57,59,116,91,159,171,129,78
"rab-3",324,310,328,249,450,268,262,262,452,219
"rab-30",251,243,245,160,273,202,223,209,232,133
"rab-33",212,163,215,183,333,255,207,233,272,153
"rab-35",469,394,419,354,584,499,385,395,505,274
"rab-37",128,123,120,93,124,88,88,100,93,43
"rab-39",702,576,619,555,795,935,690,732,867,468
"rab-5",2085,1952,2215,1712,2661,2065,1420,1467,2443,1274
"rab-6.1",274,259,232,209,240,330,218,304,209,130
"rab-6.2",259,228,306,230,462,280,242,259,527,273
"rab-7",1310,1312,1415,1286,1805,1714,1428,1523,2421,1199
"rab-8",4169,3818,2928,2528,3047,4887,3067,2751,2481,1459
"rabn-5",281,304,327,270,433,354,271,290,401,222
"rabs-5",223,293,215,159,315,193,225,246,275,149
"rabx-5",410,349,451,373,556,413,336,429,767,430
"rac-2",1,0,0,0,1,1,2,2,6,2
"rack-1",38637,39158,31823,27182,48077,49538,42155,33622,46281,25458
"rad-23",1408,1369,1608,1300,2084,2383,1853,1737,2239,1232
"rad-26",1021,826,1122,1049,1188,1060,605,815,1777,898
"rad-50",370,376,397,361,558,584,444,720,694,343
"rad-51",146,125,150,171,201,278,170,213,304,170
"rad-54",55,38,47,63,81,97,48,108,97,50
"rad-8",238,218,289,205,334,271,203,212,260,165
"rae-1",435,380,397,389,574,526,377,432,584,343
"raga-1",550,533,654,461,858,572,593,546,841,428
"ragc-1",778,787,759,600,901,914,938,984,944,525
"ral-1",1236,1147,836,716,1056,1064,824,785,909,525
"ram-2",1375,1554,1591,1026,1373,663,638,513,603,346
"ram-5",4,1,0,1,5,3,6,7,9,2
"ran-1",1614,1584,2047,1675,3058,2832,2444,2183,2797,1662
"ran-2",955,929,905,805,1258,1012,726,933,1322,707
"ran-3",674,664,748,698,998,952,776,956,1136,606
"ran-4",289,325,330,299,446,393,435,448,513,280
"ran-5",385,375,369,365,559,519,462,584,643,381
"rap-1",1242,1245,1198,925,1513,1158,764,970,1116,589
"rap-2",552,596,577,474,731,660,616,559,739,392
"rap-3",119,107,53,52,93,59,67,53,47,23
"rars-1",5132,4961,3435,3177,5051,5021,3785,3586,5009,2691
"rars-2",948,929,515,577,843,715,486,611,629,323
"ras-1",779,694,679,541,906,360,211,253,485,252
"ras-2",1095,1146,1065,840,1747,1164,1286,994,1197,710
"rba-1",348,313,360,316,545,367,280,352,453,239
"rbbp-5",166,151,163,161,235,196,201,239,227,134
"rbc-1",1801,1423,1577,1367,2254,1079,985,1423,1684,864
"rbc-2",445,442,568,422,765,431,466,605,747,384
"rbd-1",491,497,618,525,1036,647,712,756,953,483
"rbf-1",1170,1030,1146,870,1605,1027,978,1280,1207,730
"rbg-1",623,520,516,445,727,544,427,462,838,427
"rbg-2",867,780,798,675,1094,760,648,742,1211,675
"rbg-3",541,575,656,537,940,667,705,790,900,482
"rbm-22",744,760,876,726,1253,1091,899,886,1307,745
"rbm-28",690,589,718,599,1127,952,707,793,1330,674
"rbm-5",1186,1180,1360,1105,1987,1379,1035,1260,2170,1220
"rbpl-1",2154,2047,2044,1801,2445,1962,1411,1870,2490,1307
"rbr-2",1679,1483,2347,1660,2259,1504,1332,1642,3389,1726
"rbx-1",1618,1497,994,1001,1144,1706,1361,1310,1232,688
"rbx-2",248,240,219,208,286,236,223,210,250,107
"rcan-1",1620,1387,1390,1147,1806,2196,1634,1704,2212,1131
"rcor-1",408,356,307,338,538,435,270,354,601,358
"rcq-5",899,891,732,701,994,727,545,630,935,477
"rde-1",832,939,828,689,1691,842,901,1098,1703,891
"rde-10",219,198,199,174,348,240,197,255,343,189
"rde-11",169,154,172,170,264,172,149,224,245,143
"rde-12",2161,2006,2122,1758,2906,1961,1636,2163,3604,1814
"rde-2",213,164,188,169,320,246,209,271,341,207
"rde-4",415,416,605,476,633,600,431,488,773,416
"rde-8",216,188,158,189,240,214,164,221,272,159
"rdl-1",26,12,13,13,39,20,18,26,28,14
"rdy-2",35,35,30,27,33,13,11,14,17,8
"rec-1",95,83,96,84,172,118,108,128,142,86
"rec-8",29,15,31,78,51,160,81,178,162,71
"ref-1",416,496,323,261,273,15,12,21,27,17
"ref-2",20,25,19,16,34,29,13,22,43,14
"rege-1",229,204,203,191,364,273,200,224,309,178
"rei-1",5002,3790,3786,2972,5961,2770,1394,1528,1434,727
"rei-2",1949,2107,2157,1641,2128,1677,1324,1291,2048,1125
"rep-1",402,369,373,329,482,380,378,440,484,269
"repo-1",371,396,346,313,447,385,490,493,571,280
"reps-1",108,120,111,92,142,81,98,116,135,66
"rer-1",1110,1051,1052,889,1249,1454,1072,1054,1508,923
"ret-1",5983,5640,5271,4341,7051,6275,4753,4921,6930,3826
"rev-1",394,351,293,239,530,287,248,328,378,179
"rfc-1",710,616,599,650,850,811,546,709,750,434
"rfc-2",114,126,95,107,177,190,143,170,142,94
"rfc-3",165,93,124,151,189,287,146,279,192,140
"rfc-4",299,209,237,230,337,347,280,471,278,149
"rfip-1",2051,1832,2047,1734,2812,2455,1820,1716,2676,1493
"rfl-1",294,264,258,218,336,301,279,382,356,190
"rfp-1",639,606,812,633,1125,718,598,784,1014,552
"rfs-1",57,61,50,32,92,70,46,43,91,42
"rft-1",17,20,31,22,49,21,24,21,47,25
"rft-2",109,120,93,117,159,149,112,165,188,126
"rga-1",550,545,519,498,721,625,384,490,653,377
"rga-2",69,68,59,41,119,52,75,72,96,56
"rga-3",13,3,3,98,24,192,101,276,174,120
"rga-4",794,684,605,641,812,1166,818,1061,800,384
"rga-5",686,682,716,541,1001,736,638,675,746,408
"rga-6",343,338,285,235,527,221,200,224,318,154
"rgef-1",274,315,226,161,353,198,220,275,376,148
"rgl-1",703,781,685,510,1124,846,687,696,1083,546
"rgr-1",610,651,650,500,852,607,577,720,927,450
"rgs-1",135,127,189,91,255,111,102,131,243,121
"rgs-10",2,3,0,3,3,3,0,5,6,6
"rgs-11",0,0,0,6,0,7,11,17,5,4
"rgs-3",108,85,94,68,173,194,204,315,335,162
"rgs-4",1175,1288,1214,935,1777,1508,1314,1351,1573,850
"rgs-5",212,215,166,115,252,168,129,124,193,97
"rgs-6",345,352,439,319,614,401,498,559,800,392
"rgs-7",192,196,172,132,183,196,148,168,224,101
"rgs-9",1,0,1,3,1,10,4,7,3,2
"rha-1",708,673,874,734,1073,687,621,782,1184,599
"rha-2",311,318,379,264,520,373,293,335,654,320
"rheb-1",453,464,463,366,593,414,379,433,589,301
"rhgf-1",709,649,618,397,698,388,415,469,597,273
"rhgf-2",301,228,382,278,420,256,270,318,344,181
"rhi-1",496,520,527,407,790,657,575,501,1162,652
"rho-1",2361,2276,2641,2057,3311,1774,1736,1974,2683,1410
"rhr-1",1832,2293,2791,2355,5220,3461,4398,4183,6673,3774
"rhr-2",227,287,205,165,366,264,293,242,248,119
"rhy-1",246,85,267,226,234,213,111,89,270,121
"rib-1",397,397,357,282,570,446,348,433,533,263
"rib-2",329,384,366,246,423,378,302,269,501,252
"ribo-1",1825,1785,2128,1614,3165,1948,1853,1903,3016,1735
"ric-19",432,443,374,347,422,397,293,235,389,226
"ric-3",376,428,370,278,537,338,380,395,479,271
"ric-4",1936,2109,2285,1667,3400,1807,2743,2336,2899,1366
"ric-7",792,828,981,797,1356,960,775,892,1400,690
"ric-8",293,319,322,265,466,349,268,346,468,247
"rict-1",956,847,1185,931,1351,1264,1119,1538,1347,709
"rig-1",338,354,319,238,386,365,309,346,401,204
"rig-3",110,109,95,72,116,100,100,115,135,72
"rig-4",706,698,629,631,874,529,410,621,914,440
"rig-5",29,25,23,17,31,12,7,13,27,18
